split,zero_output,linear_in_input,constant_output
44,182,151,113
16,13,29,0
13,98,68,0
58,200,178,54
13,17,28,0
20,97,62,0
64,182,177,67
23,8,27,0
31,77,71,0
83,191,172,44
18,15,25,0
13,132,34,0
40,169,142,139
16,12,30,0
18,92,69,0
54,194,162,80
20,12,26,0
13,116,50,0
45,177,168,100
14,19,25,0
20,118,41,0
61,156,165,108
17,9,32,0
22,97,60,0
76,175,172,67
19,9,30,0
31,76,72,0
78,200,195,17
22,9,27,0
25,77,77,0
88,185,179,38
24,10,24,0
19,88,72,0
63,184,178,65
23,10,25,0
21,100,58,0
56,183,168,83
24,8,26,0
13,136,30,0
38,163,137,152
9,14,35,0
24,94,61,0
57,180,213,40
21,13,24,0
16,91,72,0
60,189,196,45
20,6,32,0
14,88,77,0
54,201,192,43
18,12,28,0
29,48,102,0
63,220,194,13
21,15,22,0
18,92,69,0
49,194,180,67
12,18,28,0
11,48,120,0
61,230,179,20
16,14,28,0
18,97,64,0
76,177,159,78
21,9,28,0
15,107,57,0
59,180,146,105
18,13,27,0
24,79,76,0
72,190,194,34
19,10,29,0
26,111,42,0
70,156,175,89
22,4,32,0
23,67,89,0
53,205,190,42
20,15,23,0
25,62,92,0
67,208,189,26
19,18,21,0
23,95,61,0
54,193,183,60
14,17,27,0
19,63,97,0
73,206,193,18
19,15,24,0
9,141,29,0
39,164,117,170
7,16,35,0
19,76,84,0
54,202,195,39
22,9,27,0
16,130,33,0
42,164,148,136
9,13,36,0
22,83,74,0
59,197,174,60
21,6,31,0
22,86,71,0
46,205,181,58
22,7,29,0
27,84,68,0
73,186,195,36
21,11,26,0
15,95,69,0
51,199,175,65
21,14,23,0
18,114,47,0
57,172,161,100
17,13,28,0
20,96,63,0
66,181,186,57
15,16,27,0
13,69,97,0
62,210,179,39
21,14,23,0
15,65,99,0
63,224,184,19
19,13,26,0
22,106,51,0
68,178,163,81
23,8,27,0
21,87,71,0
67,190,180,53
19,9,30,0
22,80,77,0
75,189,179,47
22,11,25,0
28,81,70,0
74,193,192,31
29,6,23,0
20,104,55,0
51,187,161,91
12,13,33,0
21,97,61,0
80,177,161,72
20,9,29,0
21,107,51,0
51,172,161,106
15,9,34,0
14,97,68,0
54,184,181,71
20,15,23,0
12,127,40,0
52,169,131,138
13,13,32,0
31,88,60,0
64,189,198,39
24,10,24,0
23,68,88,0
69,210,198,13
18,14,26,0
20,76,83,0
57,200,189,44
20,17,21,0
25,31,123,0
90,222,178,0
23,14,21,0
24,84,71,0
69,178,181,62
25,11,22,0
19,119,41,0
44,180,160,106
11,14,33,0
21,96,62,0
60,184,167,79
25,7,26,0
20,105,54,0
64,180,159,87
20,11,27,0
21,95,63,0
62,184,181,63
