split,zero_output,linear_in_input,constant_output
29,79,66,0
119,278,337,46
25,13,31,0
24,72,78,0
124,266,356,34
23,9,37,0
40,71,63,0
151,263,356,10
22,13,34,0
20,96,58,0
101,262,328,89
21,7,41,0
26,85,63,0
125,259,330,66
29,5,35,0
21,101,52,0
103,253,329,95
21,7,41,0
18,94,62,0
104,280,328,68
18,13,38,0
16,119,39,0
81,272,302,125
11,15,43,0
32,82,60,0
157,246,339,38
33,8,28,0
35,58,81,0
151,292,336,1
36,14,19,0
15,72,87,0
116,301,332,31
22,17,30,0
32,24,118,0
158,313,309,0
26,16,27,0
35,77,62,0
122,259,354,45
26,13,30,0
21,112,41,0
108,228,288,156
20,9,40,0
19,86,69,0
122,259,340,59
28,5,36,0
25,96,53,0
110,262,328,80
25,15,29,0
28,80,66,0
128,256,338,58
26,9,34,0
31,62,81,0
136,277,342,25
22,13,34,0
16,85,73,0
115,278,329,58
26,12,31,0
25,77,72,0
124,277,363,16
29,10,30,0
18,108,48,0
104,256,351,69
29,6,34,0
19,115,40,0
84,248,320,128
20,10,39,0
34,84,56,0
140,238,347,55
44,3,22,0
23,54,97,0
132,299,334,15
31,15,23,0
33,58,83,0
125,303,339,13
21,15,33,0
24,73,77,0
118,277,357,28
23,10,36,0
22,101,51,0
142,224,353,61
29,2,38,0
16,94,64,0
136,250,317,77
30,8,31,0
26,76,72,0
106,278,360,36
21,8,40,0
33,68,73,0
185,253,333,9
39,10,20,0
27,64,83,0
131,306,340,3
27,20,22,0
17,86,71,0
114,304,336,26
13,19,37,0
29,79,66,0
99,296,339,46
26,10,33,0
32,46,96,0
119,318,341,2
31,20,18,0
23,95,56,0
127,253,350,50
27,4,38,0
14,104,56,0
102,266,335,77
22,6,41,0
26,46,102,0
119,301,335,25
41,8,20,0
23,65,86,0
115,291,348,26
25,9,35,0
30,74,70,0
108,275,370,27
24,10,35,0
30,87,57,0
129,247,363,41
29,4,36,0
17,71,86,0
103,295,356,26
25,14,30,0
13,89,72,0
105,283,313,79
23,10,36,0
21,84,69,0
105,270,344,61
30,3,36,0
19,66,89,0
114,307,329,30
20,18,31,0
25,92,57,0
131,240,343,66
27,5,37,0
30,77,67,0
142,286,347,5
30,16,23,0
32,85,57,0
145,237,362,36
41,2,26,0
26,72,76,0
148,259,320,53
33,4,32,0
29,75,70,0
133,273,353,21
31,12,26,0
22,89,63,0
102,284,335,59
18,8,43,0
24,102,48,0
112,245,339,84
34,8,27,0
32,81,61,0
170,250,333,27
38,6,25,0
30,72,72,0
96,289,347,48
27,9,33,0
17,98,59,0
100,274,319,87
15,15,39,0
25,69,80,0
118,299,350,13
22,16,31,0
22,83,69,0
115,272,343,50
24,11,34,0
22,69,83,0
131,273,332,44
31,5,33,0
25,70,79,0
112,289,339,40
27,15,27,0
36,70,68,0
141,276,338,25
29,15,25,0
14,81,79,0
119,274,330,57
18,9,42,0
24,63,87,0
118,298,334,30
33,11,25,0
27,81,66,0
141,258,336,45
33,6,30,0
25,73,76,0
141,270,349,20
29,8,32,0
26,90,58,0
