split,zero_output,linear_in_input,constant_output
16,15,24,0
86,93,80,0
115,175,257,0
24,4,27,0
77,89,93,0
86,189,272,0
14,12,29,0
68,68,123,0
127,216,204,0
20,10,25,0
77,96,86,0
85,183,279,0
12,9,34,0
54,52,153,0
101,206,240,0
21,8,26,0
91,99,69,0
109,140,298,0
27,7,21,0
93,101,65,0
74,153,320,0
22,11,22,0
83,92,84,0
111,174,262,0
27,4,24,0
93,118,48,0
104,122,321,0
28,4,23,0
66,73,120,0
90,204,253,0
20,12,23,0
74,78,107,0
72,216,259,0
19,17,19,0
84,98,77,0
85,171,291,0
20,8,27,0
75,70,114,0
100,216,231,0
15,12,28,0
100,130,29,0
59,126,362,0
19,7,29,0
79,80,100,0
101,187,259,0
25,7,23,0
96,128,35,0
65,131,351,0
14,14,27,0
77,92,90,0
92,178,277,0
18,7,30,0
84,87,88,0
84,181,282,0
24,9,22,0
88,87,84,0
128,167,252,0
25,6,24,0
74,95,90,0
94,182,271,0
18,9,28,0
89,115,55,0
86,149,312,0
18,12,25,0
89,103,67,0
104,154,289,0
23,8,24,0
63,78,118,0
94,181,272,0
20,12,23,0
73,63,123,0
93,205,249,0
23,9,23,0
94,110,55,0
119,133,295,0
23,6,26,0
80,97,82,0
99,180,268,0
22,8,25,0
80,94,85,0
107,167,273,0
28,7,20,0
86,91,82,0
135,179,233,0
31,5,19,0
82,105,72,0
92,154,301,0
23,10,22,0
92,100,67,0
103,140,304,0
27,9,19,0
84,112,63,0
90,137,320,0
25,8,22,0
87,96,76,0
74,163,310,0
23,10,22,0
85,130,44,0
56,148,343,0
8,12,35,0
77,109,73,0
130,155,262,0
26,7,22,0
71,83,105,0
135,191,221,0
15,13,27,0
72,78,109,0
96,204,247,0
21,10,24,0
59,53,147,0
131,216,200,0
26,10,19,0
80,99,80,0
105,155,287,0
23,13,19,0
90,122,47,0
61,141,345,0
19,12,24,0
88,101,70,0
109,139,299,0
27,6,22,0
89,105,65,0
97,154,296,0
25,8,22,0
92,93,74,0
110,154,283,0
27,8,20,0
77,89,93,0
100,183,264,0
20,15,20,0
79,83,97,0
95,164,288,0
25,11,19,0
81,96,82,0
104,167,276,0
20,14,21,0
84,116,59,0
95,132,320,0
21,14,20,0
94,121,44,0
65,136,346,0
14,13,28,0
100,99,60,0
132,127,288,0
24,9,22,0
69,72,118,0
95,206,246,0
12,13,30,0
73,74,112,0
138,191,218,0
24,10,21,0
78,92,89,0
95,175,277,0
19,13,23,0
88,114,57,0
136,119,292,0
38,2,15,0
79,104,76,0
120,146,281,0
24,12,19,0
81,89,89,0
100,175,272,0
17,13,25,0
92,88,79,0
138,173,236,0
23,4,28,0
65,87,107,0
118,197,232,0
10,17,28,0
75,88,96,0
91,190,266,0
11,15,29,0
79,96,84,0
92,173,282,0
22,5,28,0
70,71,118,0
108,212,227,0
17,11,27,0
98,102,59,0
115,133,299,0
33,4,18,0
84,110,65,0
84,162,301,0
20,11,24,0
72,60,127,0
101,203,243,0
16,13,26,0
75,80,104,0
97,189,261,0
24,8,23,0
84,96,79,0
99,173,275,0
22,9,24,0
93,104,62,0
114,148,285,0
28,5,22,0
69,88,102,0
79,194,274,0
18,16,21,0
74,95,90,0
76,169,302,0
16,15,24,0
84,94,81,0
94,171,282,0
27,8,20,0
63,82,114,0
69,196,282,0
16,19,20,0
84,111,64,0
96,148,303,0
29,4,22,0
75,99,85,0
111,176,260,0
25,9,21,0
87,101,71,0
133,143,271,0
32,6,17,0
90,91,78,0
120,164,263,0
26,6,23,0
85,91,83,0
121,181,245,0
18,12,25,0
88,96,75,0
79,167,301,0
29,8,18,0
99,109,51,0
87,141,319,0
27,6,22,0
94,98,67,0
142,147,258,0
27,2,26,0
82,93,84,0
104,166,277,0
24,10,21,0
77,109,73,0
94,152,301,0
17,14,24,0
74,84,101,0
111,193,243,0
22,10,23,0
85,91,83,0
91,162,294,0
19,13,23,0
79,82,98,0
120,166,261,0
24,6,25,0
85,86,88,0
111,185,251,0
27,9,19,0
82,95,82,0
113,177,257,0
22,6,27,0
77,85,97,0
85,173,289,0
21,10,24,0
71,75,113,0
100,196,251,0
20,8,27,0
91,94,74,0
123,161,261,2
23,7,25,0
89,81,89,0
110,183,254,0
23,6,26,0
84,110,65,0
